datetime,Program Trading Buy,Program Trading Sell,Program Trading Net,Non Program Trading Buy,Non Program Trading Sell,Non Program Trading Net,Total Buy,Total Sell
"Friday, January 5, 2024",19758.49,22222.22,-2463.73,33454.71,30990.98,2463.73,53213.2,53213.2
"Thursday, January 4, 2024",18455.73,17883.04,572.69,31274.66,31847.34,-572.69,49730.39,49730.39
"Wednesday, January 3, 2024",16245.38,17104.94,-859.56,31498.88,30639.33,859.56,47744.27,47744.27
"Tuesday, January 2, 2024",16227.79,15382.86,844.93,29616.5,30461.42,-844.93,45844.28,45844.28
"Monday, January 1, 2024",,,,,,,,
"Sunday, December 31, 2023",,,,,,,,
"Saturday, December 30, 2023",,,,,,,,
"Friday, December 29, 2023",,,,,,,,
"Thursday, December 28, 2023",17661.93,16337.45,1324.48,32796.98,34121.46,-1324.48,50458.91,50458.91
"Wednesday, December 27, 2023",14903.27,15798.46,-895.19,27204.85,26309.66,895.19,42108.12,42108.12
"Tuesday, December 26, 2023",11407.56,12157.04,-749.47,24959.35,24209.88,749.47,36366.91,36366.91
"Monday, December 25, 2023",7417.79,7058.72,359.07,16182.51,16541.58,-359.07,23600.3,23600.3
"Sunday, December 24, 2023",,,,,,,,
"Saturday, December 23, 2023",,,,,,,,
"Friday, December 22, 2023",12928.93,14314.45,-1385.53,22474.68,21089.15,1385.53,35403.6,35403.6
"Thursday, December 21, 2023",14637.78,15275.52,-637.74,26897.25,26259.51,637.74,41535.03,41535.03
"Wednesday, December 20, 2023",15763.53,16487.25,-723.71,30007.11,29283.39,723.71,45770.64,45770.64
"Tuesday, December 19, 2023",12975.33,13469.94,-494.6,22513.76,22019.16,494.6,35489.1,35489.1
"Monday, December 18, 2023",12717.61,12837.14,-119.54,20184.49,20064.95,119.54,32902.09,32902.09
"Sunday, December 17, 2023",,,,,,,,
"Saturday, December 16, 2023",,,,,,,,
"Friday, December 15, 2023",,,,,,,,
"Thursday, December 14, 2023",19212.42,17474.65,1737.77,23827.02,25564.79,-1737.77,43039.44,43039.44
"Wednesday, December 13, 2023",16229.0,16306.97,-77.96,22933.39,22855.43,77.96,39162.39,39162.39
"Tuesday, December 12, 2023",15457.01,16418.47,-961.46,20888.28,19926.82,961.46,36345.29,36345.29
"Monday, December 11, 2023",,,,,,,,
"Sunday, December 10, 2023",,,,,,,,
"Saturday, December 9, 2023",,,,,,,,
"Friday, December 8, 2023",13993.02,14774.86,-781.84,22282.1,21500.26,781.84,36275.12,36275.12
"Thursday, December 7, 2023",14788.49,17530.66,-2742.16,27961.1,25218.93,2742.16,42749.59,42749.59
"Wednesday, December 6, 2023",17701.43,17397.54,303.89,22604.65,22908.53,-303.89,40306.07,40306.07
"Tuesday, December 5, 2023",,,,,,,,
"Monday, December 4, 2023",15877.29,15351.96,525.34,20768.03,21293.37,-525.34,36645.32,36645.32
"Sunday, December 3, 2023",,,,,,,,
"Saturday, December 2, 2023",,,,,,,,
"Friday, December 1, 2023",16937.88,16857.36,80.52,21347.71,21428.23,-80.52,38285.59,38285.59
"Thursday, November 30, 2023",41034.85,42339.23,-1304.37,36300.54,34996.16,1304.37,77335.39,77335.39
"Wednesday, November 29, 2023",20320.07,22336.57,-2016.5,32177.94,30161.45,2016.5,52498.02,52498.02
"Tuesday, November 28, 2023",16184.76,15645.67,539.09,21937.7,22476.79,-539.09,38122.46,38122.46
"Monday, November 27, 2023",17172.37,16134.9,1037.46,20130.13,21167.6,-1037.46,37302.5,37302.5
"Sunday, November 26, 2023",,,,,,,,
"Saturday, November 25, 2023",,,,,,,,
"Friday, November 24, 2023",13813.23,14309.69,-496.46,20244.42,19747.96,496.46,34057.65,34057.65
"Thursday, November 23, 2023",17011.88,17395.53,-383.64,25273.13,24889.49,383.64,42285.01,42285.01
"Wednesday, November 22, 2023",14078.05,14805.83,-727.78,22089.71,21361.93,727.78,36167.76,36167.76
"Tuesday, November 21, 2023",16269.28,15942.47,326.81,22768.6,23095.41,-326.81,39037.88,39037.88
"Monday, November 20, 2023",15232.25,16010.9,-778.65,24368.46,23589.81,778.65,39600.71,39600.71
"Sunday, November 19, 2023",,,,,,,,
